"","p_val","log2FoldChange","pct.1","pct.2","padj"
"ADIPOR1",0.439090231190309,0.0291970455413373,0.109,0.089,1
"NAPA",0.439217466098464,0.0352996686560004,0.114,0.097,1
"TIMM9",0.439370288962297,0.0445680710411978,0.123,0.111,1
"DDRGK1",0.439733910141411,0.0350504253471744,0.116,0.094,1
"CYC1",0.43988985453191,0.0526938226629927,0.155,0.106,1
"ENOPH1",0.440228371346104,0.0270878269203036,0.108,0.087,1
"ECHDC1",0.440763127933074,0.0205771244746965,0.101,0.082,1
"EMD",0.441114216420983,0.0351332544077349,0.118,0.094,1
"CCSER2",0.441326802184193,0.0333866135704408,0.116,0.09,1
"TRAPPC6A",0.441625283574579,0.0826352068959111,0.247,0.208,1
"NDUFV1",0.441681003156822,0.0573997154363664,0.157,0.116,1
"TSN",0.441786293551571,0.0291970455413373,0.106,0.09,1
"GLUD1",0.441978804567614,0.0535556628254976,0.143,0.109,1
"CD5",0.442382158059645,0.0564978372435532,0.163,0.111,1
"GLO1",0.442440219730108,0.0516697572382936,0.14,0.109,1
"TSPYL1",0.444145933877804,0.0395100735378743,0.125,0.094,1
"GGA1",0.444547513635243,0.0352163351277406,0.114,0.094,1
"PPM1K",0.444789491894678,0.0604909851875171,0.16,0.125,1
"DDIT4",0.444839526362147,0.167192809747989,0.301,0.229,1
"SMCHD1",0.444956694284808,0.0479572947653186,0.133,0.101,1
"KTN1",0.445179616342389,0.0568335530239168,0.152,0.114,1
"SERINC1",0.446385918976373,0.0411005155281066,0.135,0.089,1
"COQ10B",0.446421124559524,0.0293473341024286,0.109,0.084,1
"TMEM50A",0.447088638162865,0.170814224502909,0.315,0.189,1
"UPF3A",0.448232073328546,0.037712538973231,0.121,0.087,1
"PTBP1",0.448477048299319,0.0454349884679177,0.126,0.104,1
"PDCD6IP",0.448988940684606,0.0270161002418115,0.106,0.084,1
"TRAPPC2L",0.449072941411589,0.060374229723053,0.153,0.126,1
"CNOT7",0.449362677824117,0.0631423839461192,0.162,0.119,1
"ADK",0.449908096448991,0.037712538973231,0.12,0.09,1
"SEP15",0.450139318772801,0.163301790771292,0.355,0.229,1
"C1orf123",0.450908057938292,0.0271597748646644,0.103,0.087,1
"CCDC91",0.451074066873431,0.0478554949815892,0.133,0.099,1
"SNRPC",0.451161713556949,0.078318940201067,0.215,0.174,1
"ARL4A",0.451592105440501,0.0590144983234427,0.158,0.113,1
"CTC-523E23.11",0.451938848076789,0.0291970455413373,0.108,0.085,1
"MT-ND6",0.452325465293595,0.0370212619878494,0.111,0.101,1
"SSBP1",0.452566894114207,0.0858704164630937,0.322,0.251,1
"MRPL16",0.452684656445809,0.0388018961354707,0.111,0.102,1
"NUBP2",0.453506366391431,0.0376252069349957,0.116,0.09,1
"CALCOCO2",0.453760988372465,0.0357201691226717,0.113,0.09,1
"PSMD4",0.454052993039532,0.172320623446711,0.311,0.183,1
"EIF3L",0.454359622332946,0.170523782262478,0.62,0.517,1
"TMEM141",0.455558720152149,0.0293473341024286,0.103,0.087,1
"DPM1",0.456117031051724,0.0355511976837637,0.114,0.089,1
"XRCC6",0.456192704077749,0.155783010848047,0.412,0.29,1
"MRPS31",0.45640223476454,0.0357201691226717,0.113,0.089,1
"HAGH",0.4564046101759,0.0387145662208418,0.118,0.096,1
"FKBP3",0.456404852643737,0.0439096283053203,0.136,0.09,1
"XRCC5",0.456463256228611,0.172837767819613,0.32,0.177,1
"PTPN7",0.456521100130913,0.0418382782856254,0.121,0.094,1
"MGAT1",0.456563734581816,0.0456308298670755,0.136,0.09,1
"CEP57",0.456780973819922,0.0419317624937182,0.123,0.092,1
"RPAIN",0.45719138094643,0.0654517239888667,0.163,0.121,1
"NR3C1",0.457808633355385,0.047551929480019,0.128,0.101,1
"PDIA6",0.457862868182964,0.186747784787768,0.278,0.137,1
"BTF3L4",0.458143656877337,0.0609614386465932,0.148,0.125,1
"VPS51",0.458824545544265,0.0589992780786551,0.141,0.142,1
"HLA-DPA1",0.458838400568171,0.187168176062342,0.258,0.147,1
"ELAVL1",0.45931567359199,0.0397800916386696,0.118,0.092,1
"MAZ",0.459647436867557,0.0397800916386696,0.118,0.092,1
"PEF1",0.460549336224315,0.0336306727870755,0.111,0.085,1
"PBXIP1",0.460560463229465,0.173594314863293,0.293,0.164,1
"MEI1",0.461221941325467,0.037712538973231,0.116,0.087,1
"C1orf86",0.461828461442686,0.0768583514033746,0.197,0.152,1
"CTDSP2",0.462050285406606,0.0478554949815892,0.131,0.096,1
"RASGRP2",0.462396692000559,0.0858182296470489,0.264,0.224,1
"MYO1F",0.462531366330752,0.221800347205176,0.209,0.067,1
"ALDH9A1",0.462560177075571,0.0477540017600455,0.133,0.096,1
"CHTOP",0.463335069985322,0.0294985520723682,0.104,0.084,1
"SOCS3",0.463507905482377,0.0820654291788546,0.283,0.227,1
"ANP32A",0.464154243408933,0.0667785825605286,0.187,0.121,1
"PMF1",0.465560851780311,0.0522704783825487,0.162,0.087,1
"POLR3GL",0.466499043671253,0.0869223037232782,0.266,0.2,1
"ECH1",0.467173529787326,0.165177613478532,0.333,0.218,1
"PRKCSH",0.467425198777227,0.0631423839461192,0.16,0.118,1
"TRAM1",0.467523818945167,0.177210697186555,0.278,0.169,1
"ERP44",0.468292496916441,0.0537743455632169,0.136,0.106,1
"BCAS2",0.468385314454008,0.0810848826055607,0.221,0.166,1
"HMGN1",0.469596135034443,0.180902316023177,0.668,0.532,1
"PHYKPL",0.470577435706896,0.0246278664061224,0.101,0.075,1
"ADD3",0.471040563331409,0.0887373489683709,0.281,0.229,1
"EIF2AK2",0.471265148049276,0.0439835501171823,0.121,0.092,1
"ALKBH7",0.471428837052334,0.0765297626868212,0.239,0.232,1
"C11orf48",0.47157127950134,0.050931306250155,0.12,0.116,1
"RRAGA",0.471648907183111,0.0358050440214126,0.111,0.082,1
"STRAP",0.472192696385063,0.0812255655390571,0.214,0.166,1
"PRPF38A",0.472642334110995,0.044080229072295,0.121,0.09,1
"CISH",0.472920906508243,0.0585544235374908,0.141,0.118,1
